video_path,behavior,og_behavior,start_time,end_time,master_video,duration,dataset,annotation_times,split
/fs/vulcan-projects/fsh_track/processed_data/dataset12_06/2025-05-21-1245-Pi14-TankA11-Run1-Sham-60min-NoCircling-001_clip00001.mp4,NoBehavior,NoBehavior,14.604843651955388,18.604843651955388,25-05-21-Run1-Sham-NoCir,4.0,fshdata,,train
/fs/vulcan-projects/fsh_track/processed_data/dataset12_06/2025-05-21-1245-Pi14-TankA11-Run1-Sham-60min-NoCircling-001_clip00002.mp4,Bite,Bite (Male),35.16671848468728,39.16671848468728,25-05-21-Run1-Sham-NoCir,4.0,fshdata,37.160000,train
/fs/vulcan-projects/fsh_track/processed_data/dataset12_06/2025-05-21-1245-Pi14-TankA11-Run1-Sham-60min-NoCircling-001_clip00003.mp4,NoBehavior,NoBehavior,45.42872509226595,49.42872509226595,25-05-21-Run1-Sham-NoCir,4.0,fshdata,,train
/fs/vulcan-projects/fsh_track/processed_data/dataset12_06/2025-05-21-1245-Pi14-TankA11-Run1-Sham-60min-NoCircling-001_clip00004.mp4,Bite,Bite (Male),64.10483184942044,68.10483184942044,25-05-21-Run1-Sham-NoCir,4.0,fshdata,65.400000,train
/fs/vulcan-projects/fsh_track/processed_data/dataset12_06/2025-05-21-1245-Pi14-TankA11-Run1-Sham-60min-NoCircling-001_clip00005.mp4,NoBehavior,NoBehavior,110.36130040503184,114.36130040503184,25-05-21-Run1-Sham-NoCir,4.0,fshdata,,train
/fs/vulcan-projects/fsh_track/processed_data/dataset12_06/2025-05-21-1245-Pi14-TankA11-Run1-Sham-60min-NoCircling-001_clip00006.mp4,Bite,Bite (Male),119.49483544882732,123.49483544882732,25-05-21-Run1-Sham-NoCir,4.0,fshdata,120.360000 122.600000,train
/fs/vulcan-projects/fsh_track/processed_data/dataset12_06/2025-05-21-1245-Pi14-TankA11-Run1-Sham-60min-NoCircling-001_clip00007.mp4,NoBehavior,NoBehavior,130.41610936660473,134.41610936660473,25-05-21-Run1-Sham-NoCir,4.0,fshdata,,train
/fs/vulcan-projects/fsh_track/processed_data/dataset12_06/2025-05-21-1245-Pi14-TankA11-Run1-Sham-60min-NoCircling-001_clip00008.mp4,NoBehavior,NoBehavior,134.41610936660473,138.41610936660473,25-05-21-Run1-Sham-NoCir,4.0,fshdata,,train
/fs/vulcan-projects/fsh_track/processed_data/dataset12_06/2025-05-21-1245-Pi14-TankA11-Run1-Sham-60min-NoCircling-001_clip00009.mp4,Quiver,Quiver (Male),140.2178735556281,144.2178735556281,25-05-21-Run1-Sham-NoCir,4.0,fshdata,140.440000 143.680000,train
/fs/vulcan-projects/fsh_track/processed_data/dataset12_06/2025-05-21-1245-Pi14-TankA11-Run1-Sham-60min-NoCircling-001_clip00010.mp4,NoBehavior,NoBehavior,148.43064679888928,152.43064679888928,25-05-21-Run1-Sham-NoCir,4.0,fshdata,,train
/fs/vulcan-projects/fsh_track/processed_data/dataset12_06/2025-05-21-1245-Pi14-TankA11-Run1-Sham-60min-NoCircling-001_clip00011.mp4,Bite,Bite (Male),153.39492248888774,157.39492248888774,25-05-21-Run1-Sham-NoCir,4.0,fshdata,153.880000,train
/fs/vulcan-projects/fsh_track/processed_data/dataset12_06/2025-05-21-1245-Pi14-TankA11-Run1-Sham-60min-NoCircling-001_clip00012.mp4,Bite,Bite (Male),162.44185976219035,166.44185976219035,25-05-21-Run1-Sham-NoCir,4.0,fshdata,165.040000,train
/fs/vulcan-projects/fsh_track/processed_data/dataset12_06/2025-05-21-1245-Pi14-TankA11-Run1-Sham-60min-NoCircling-001_clip00013.mp4,Bite,Bite (Male),166.53117946048167,170.53117946048167,25-05-21-Run1-Sham-NoCir,4.0,fshdata,166.680000 167.680000 167.720000,train
/fs/vulcan-projects/fsh_track/processed_data/dataset12_06/2025-05-21-1245-Pi14-TankA11-Run1-Sham-60min-NoCircling-001_clip00014.mp4,Quiver,Quiver (Male),171.53622055629543,175.53622055629543,25-05-21-Run1-Sham-NoCir,4.0,fshdata,172.680000,train
/fs/vulcan-projects/fsh_track/processed_data/dataset12_06/2025-05-21-1245-Pi14-TankA11-Run1-Sham-60min-NoCircling-001_clip00015.mp4,Quiver,Quiver (Male),175.53622055629543,179.53622055629543,25-05-21-Run1-Sham-NoCir,4.0,fshdata,177.240000,train
